ITword,ITcatlog,ITcertainty,defn
4G STANDARD,2,1,"The fourth generation (4G) Long Term Evolution-Advanced (LTE-A) standard is for next-generation local- and wide-area mobile platforms supporting high peak data rates; handover between wireless bearer technologies; Internet Protocol (IP) core and radio transport networks for voice, video and data services; and support for call control and signaling. With peak data rates of 100 Mbps in WANs and 1 Gbps in fixed or low-mobility situations, and all-IP core, radio access and transport networks, 4G will be mostly implemented as LTE-A."
5G,2,1,"5G is the next-generation cellular standard after 4G. It has been defined across several global standards bodies, including the International Telecommunication Union (ITU), 3GPP and ETSI. The official ITU specification, International Mobile Telecommunications-2020, targets maximum downlink and uplink throughputs of 20 Gbps and 10 Gbps, respectively; latency below 5 ms endpoint to RAN; and massive scalability, although initial deployments may be less ambitious. New system architecture includes core network slicing and edge computing."
5G NETWORKS,2,1,"Next wireless technology evolution, supporting transmission of huge amounts of data in the gigabit range, with fewer transmission delays and the ability to connect many more devices (such as sensors and smart devices) at once than existing cellular systems."
5S,0,0,"Five-part checklist to help eliminate waste in the workplace: In Japanese ÇÇSeiri, Seiton, Seiso, Seiketsu and ShitsukeÇ; loosely translated as ÇSort, Straighten, Sanitize, Standardize and Sustain.Ç Using the 5S approach is frequently a Çkaizen event.Ç"
ABC,0,0,"Activity-Based Costing (ABC) is an improved approach to understanding where and why costs are incurred within an enterprise. It provides the information for activity-based management, which focuses on the decisions and actions needed to reduce costs and increase revenue. ABC differs from traditional cost accounting in explicitly recognizing that not all cost objects place an equal demand on support resources.Build an Effective Finance Strategy"
ABI,0,0,"Analytics and business intelligence (ABI) is an umbrella term that includes the applications, infrastructure and tools, and best practices that enable access to and analysis of information to improve and optimize decisions and performance."
ABM,2,0,Activity-Based Management (ABM) is the use of activity-based costing (ABC) principles in the ongoing management of costs and resources.
AC,0,0,"Total costs incurred and recorded in accomplishing work performed during a given time period for a schedule activity or work breakdown structure component. The actual cost can sometimes be direct labor hours alone, direct costs alone, or all costs including indirect costs. Reference: PMBOK See Also: Also referred to as the Actual Cost of Work Performed (ACWP)."
ACCEPTABLE USE POLICY,0,0,"Computer and/or internet usage policy for people within an organization, with clearly spelled-out penalties for noncompliance."
ACCEPTANCE CRITERIA,0,0,"Those criteria, including performance requirements and essential conditions, which must be met before project deliverables are accepted. Reference: PMBOK"
ACCEPTANCE TESTING,4,0,Provides the final certification that the system is ready to be used in a production setting.
ACCESS METHOD,2,1,"An access method is:  The portion of a computerÇs operating system responsible for formatting data sets and their direction to specific storage devices. Examples from the mainframe world include Virtual Storage Access Method (VSAM) and Indexed Sequential Access Method (ISAM). In local-area networks, the technique or program code used to arbitrate the use of the communications medium by granting access selectively to individual stations. Examples are Carrier Sense Multiple Access with Collision Detection (CSMA-CD) and token passing."
ACCESS POINT,2,1,"An access point is a pico base station or network access point in a WLAN radio network, consisting of a radio (often more than one) and a network connection, enabling WLAN clients to access network resources connected to a home or enterprise network."
ACCESSIBILITY,2,0,"Area of information control involved with the ability to obtain data; one of the four parts of the information ethics framework, PAPA."
ACCOUNTABILITY,0,0,The mechanisms for assessing responsibility for decisions made and actions taken.
ACCOUNTABLE CARE ORGANIZATION,1,0,"Accountable care organization (ACO) is an umbrella term for a major switch in contracting between providers and public or private payers. In an ACO model, a group of providers, operating as a legal entity, contracts to assume some portion of the risk for cost and quality for a panel of beneficiaries through a variety of value-based payment models over a specified period of time. ACOs include primary care services. The U.S. CMS Distributed Shared Savings Program, which began operation in 2012, is one version of this model."
ACCURACY,0,0,"Area of information control dealing with the correctness of information or lack of errors in information; one of the four parts of the information ethics framework, PAPA."
ACO,1,0,"Accountable care organization (ACO) is an umbrella term for a major switch in contracting between providers and public or private payers. In an ACO model, a group of providers, operating as a legal entity, contracts to assume some portion of the risk for cost and quality for a panel of beneficiaries through a variety of value-based payment models over a specified period of time. ACOs include primary care services. The U.S. CMS Distributed Shared Savings Program, which began operation in 2012, is one version of this model."
ACQUISITION PROCESS,1,0,"The process of acquiring personnel/goods/services for new or existing work within the general definitions of contracts requiring an offer and acceptance, consideration, lawful subject matter, and competent parties."
ACR,4,0,"Automatic content recognition (ACR) refers to the ability of a client application (typically a smartphone or media tablet app) to identify a content element within its proximity _ audio, video or digital image _ based on sampling a portion of the audio or video (or image), processing the sample and comparing it with a source service that identifies content by its unique characteristics such as audio or video fingerprints or watermarks."
ACTION PLAN,0,0,A plan that describes what needs to be done and when it needs to be completed. Project plans are action plans.
ACTIVE DIRECTORY,2,0,"Active Directory is the Çdirectory serviceÇ portion of the Windows 2000 operating system. Active Directory manages the identities and relationships of the distributed resources that make up a network environment. It stores information about network-based entities (e.g., applications, files, printers and people) and provides a consistent way to name, describe, locate, access, manage and secure information about these resources. It the central authority that manages the identities and brokers the relationships between these distributed resources, enabling them to work together."
ACTIVE PROJECTS,0,0,A project portfolio category for Commonwealth-level IT projects that have been granted Project Initiation approval by the appropriate approval authority.
ACTIVEX,2,1,"ActiveX is an application programming interface (API) that enhances MicrosoftÇs OLE protocol. Often compared to Java, ActiveX facilitates various Internet applications, and therefore extends and enhances the functionality of MicrosoftÇs Internet Explorer browser. Like Java, ActiveX enables the development of interactive content. When an ActiveX-aware browser encounters a Web page that includes an unfamiliar feature, it automatically installs the appropriate applications so the feature can be used."
ACTIVITY,0,0,"An element of work performed during the course of a project. An activity normally has an expected duration, expected cost, and expected resource requirements. Activities are often subdivided into tasks."
ACTIVITY-BASED COSTING,0,0,"Activity-Based Costing (ABC) is an improved approach to understanding where and why costs are incurred within an enterprise. It provides the information for activity-based management, which focuses on the decisions and actions needed to reduce costs and increase revenue. ABC differs from traditional cost accounting in explicitly recognizing that not all cost objects place an equal demand on support resources.Build an Effective Finance Strategy"
ACTUAL COST,0,0,"Total costs incurred and recorded in accomplishing work performed during a given time period for a schedule activity or work breakdown structure component. The actual cost can sometimes be direct labor hours alone, direct costs alone, or all costs including indirect costs. Reference: PMBOK See Also: Also referred to as the Actual Cost of Work Performed (ACWP)."
ACTUAL COST OF WORK PERFORMED,0,0,Total costs incurred and recorded in accomplishing work performed during a given time period for a schedule activity or work breakdown structure component. Reference: PMBOK See Also: Actual Cost (AC)
AD,0,1,"The Application Development (AD) software market comprises tools that represent each phase of the software development life cycle: Application Lifecycle Management (ALM), design, construction, automated software quality and other Application Development software."
AD TECH,0,1,"Ad tech is a set of technologies used for managing advertisements across channels, including search, display, video, mobile and social, with functions for targeting, design, bid management, analytics, optimization and automation of digital advertising."
ADAPTABILITY,2,0,"Architecture that is able to handle expected technological advances, such as innovations in storage capacity, end-user devices, and computing power."
ADAPTERS,2,1,"Adapters are small, focused programs that expose functionality and/or data in a legacy application. Our use of this term includes not only the programs, but also the framework for designing and developing adapter programs. Adapters can be deceptively complex, with ÇthickÇ adapters performing a variety of functions that include recognizing events, collecting and transforming data, and exchanging data with platform, integration suite or other middleware. However, ÇthinÇ adapters may only ÇwrapÇ a native application interface, exposing another more-standard one for application access. Adapters can also handle exception conditions and can often dynamically (or with minor reconfiguration) accommodate new revisions of source or target applications. Adapters are often sold in conjunction with integration middleware products, such as ESBs, integration suites or portal servers, or are offered as a stand-alone product, such as an adapter suite. Among the different adapters, high-level categories include technical and application adapters. A comprehensive suite should include adapters for:  Common technologies, such as COM, Enterprise JavaBeans and Web services Industry protocols, such as EDI, Society for Worldwide Interbank Financial Telecommunication and RosettaNet Common applications, such as SAP or PeopleSoft Proprietary applications, such as an adapter development kit"
ADAPTIVE LEARNING,4,0,Adaptive learning in its fundamental form is a learning methodology that changes the pedagogical approach toward a student based on the studentÇs input and a predefined response. Adaptive learning more recently is being associated with a large-scale collection of learning data and statistically based pedagogical responses and can be seen as a subset of personalized learning that includes such approaches as affective and somatic computing.
ADAPTIVE MULTIRATE,2,1,"GSM codec that lowers the codec rate in response to interference, affording a greater level of error correction and potentially enabling operators to reduce capital expenditures by reducing the number of cell sites needed to support the user base."
ADAS,4,1,"Advanced driver assistance systems (ADAS) are primarily focused on collision avoidance technologies (for example, lane departure warning and blind-spot applications) and driver aids, such as night vision, driver alertness and adaptive cruise control. ADAS offerings are primarily built into the vehicle, but vendors are beginning to offer aftermarket solutions. Next-generation ADASs will increasingly leverage wireless network connectivity to offer improved value (by using car-to-car data)."
ADC,2,1,"Application delivery controllers (ADC) are deployed in data centers to optimize application performance, security and resource efficiency by offloading servers, providing deep payload inspection and making the best use of complex protocols. Originally deployed for externally-facing Web applications, they are now used to deliver services for many types of business applications and protocols. Recent developments in software-based and virtual ADC platforms provide more deployment flexibility, especially in cloud services and virtual environments."
ADDITIVE MANUFACTURING,4,1,Additive manufacturing is the capability to create a physical object from a digitally encoded design through the deposition of material via a 3D printing process.
ADF,2,0,"GartnerÇs term for an architecture and set of processes to manage the creation and delivery of mission-critical, high-volume digital documents. The ADF applies factory production concepts to the document production Çraw materials, including data and preparation instructions, enter the ADF, where they are transformed into digital documents and prepared for delivery."
ADM,0,0,"A schedule network diagramming technique in which schedule activities are represented by arrows. The tail of the arrow represents the start, and the head represents the finish of the scheduled activity. Schedule activities are connected at points called nodes (usually drawn as small circles) to illustrate the sequence in which the schedule activities are expected to be performed. Reference: PMBOK"
ADMS,2,1,"An advanced distribution management system (ADMS) is the software platform that supports the full suite of distribution management and optimization. An ADMS includes functions that automate outage restoration and optimize the performance of the distribution grid. ADMS functions being developed for electric utilities include fault location, isolation and restoration; volt/volt-ampere reactive optimization; conservation through voltage reduction; peak demand management; and support for microgrids and electric vehicles."
ADSI,2,1,ADSI abstract the capabilities of different directory services from different network vendors to present a single set of directory service interfaces for managing network resources.
ADVANCED ANALYTICS,4,0,"Advanced Analytics is the¨Üautonomous or semi-autonomous examination of data or content using sophisticated techniques and tools, typically beyond those of traditional business intelligence (BI), to discover deeper insights, make predictions, or generate recommendations. Advanced analytic techniques include those such as data/text mining, machine learning, pattern matching, forecasting, visualization, semantic analysis, sentiment analysis, network and cluster analysis, multivariate statistics, graph analysis, simulation, complex event processing, neural networks.Advanced Data and Analytics: What Do Leading Organizations Do? Read Research."
ADVANCED DRIVER ASSISTANCE SYSTEMS,4,1,"Advanced driver assistance systems (ADAS) are primarily focused on collision avoidance technologies (for example, lane departure warning and blind-spot applications) and driver aids, such as night vision, driver alertness and adaptive cruise control. ADAS offerings are primarily built into the vehicle, but vendors are beginning to offer aftermarket solutions. Next-generation ADASs will increasingly leverage wireless network connectivity to offer improved value (by using car-to-car data)."
ADVANCED METERING INFRASTRUCTURE,2,1,"Advanced metering infrastructure (AMI) is a composite technology composed of several elements: consumption meters, a two-way communications channel and a data repository (meter data management). Jointly, they support all phases of the meter data life cycle Çfrom data acquisition to final provisioning of energy consumption information to end customers (for example, for load profile presentment) or an IT application (such as revenue protection, demand response or outage management)."
ADVANCED MOBILE PHONE SERVICE,2,1,"U.S.-originated analog cellular standard, now largely obsolete."
ADVANCED TECHNOLOGY,4,0,"A technology that is still immature but promises to deliver significant value, or that has some technical maturity but still has relatively few users. Among current examples: artificial intelligence, agents, speech and handwriting recognition, virtual reality and 3D visualization, smart cards, real-time collaboration, enhanced user authentication, data mining, and knowledge management.The emerging technology roadmap will help you track the innovation maturity and potential of key emerging technologies - Download Now."
IT,0,1,"The hardware and software operated by an organization to support the flow or processing of information in support of business activities, regardless of the technology involved, whether computers, telecommunications, or other. In the Commonwealth of Virginia, Information Technology means telecommunications, automated data processing, databases, the Internet, management information systems, and related information, equipment, goods, and services."
ADWARE,2,1,Free software paid for by advertisements appearing during the use of the software.
AFFILIATE MARKETING,0,0,A type of marketing that allows individual website owners to earn commission by posting other companiesÇ ads on their web pages.
AGENCY,1,0,"Any agency, institution, board, bureau, commission, council, or instrumentality of the Commonwealth of Virginia listed in the appropriation act. For the purposes of Enterprise Architecture standards, agency includes the administrative functions (does not include instructional or research functions) of institutions of higher education, unless exempted by language contained in a specific requirement/standard."
AGENCY HEAD,0,0,The chief executive officer of a department established in the government of the Commonwealth of Virginia.
AGENCY MANAGEMENT,0,0,A term that refers to those people who are responsible for the business operations of an agency.
AGILE,4,1,Agile is a development approach that delivers software in increments by following the principles of the Manifesto for Agile Software Development.
AGILE DEVELOPMENT,4,1,"An iterative approach to project management and software development that uses incremental delivery, team collaboration, continual planning, and continual learning to deliver solutions. Based on the 2001 Manifesto for Agile Software Development, it promotes lean processes that focus on the construction of smaller sets of features and capabilities of a system that are reviewed with stakeholders at regular intervals. This shorter cycle of development and review facilitates a rapid response to change as priorities shift or new needs are identified. Agile teams typically operate in sprints, short 2-3 week intervals in which a discrete set of features, called stories, are developed. An agile team meets daily for a short 15-minute checkpoint, called a stand up, to assess progress against stories, the completed results of which are demoed to project stakeholders at an end-of-sprint review. Reference: Manifesto for Agile Software Development Pilot (or trial) Project Management in Practice Proof of Concept (PoC) Project Management in Practice Prototype"
AGILE METHODOLOGY,4,0,"An evolutionary systems development approach that focuses on creating small, clientapproved parts of the system as the project progresses rather than delivering one large application at the end of the project."
AGILE SOFTWARE DEVELOPMENT,4,1,"System development methodologies used to deal with unpredictability. They adapt to changing requirements by iteratively developing systems in small stages and then testing the new code extensively. They include XP (Extreme Programming), Crystal, Scrum, Feature-Driven Development, and Dynamic System Development Method (DSDM)."
AHP,0,0,"The analytic hierarchy process (AHP) is a process that uses hierarchical decomposition to deal with complex information in multicriterion decision making, such as information technology vendor and product evaluation. It consists of three steps:  Developing the hierarchy of attributes germane to the selection of the IT vendor. Identifying the relative importance of the attributes. Scoring the alternativesÇ relative performance on each element of the hierarchy.  Developed by Thomas Saaty while he was teaching at the University of PennsylvaniaÇs Wharton School of Business, the AHP is recognized as the leading theory in multicriterion decision making."
AI,4,1,Refers to?the simulation of human intelligence in machines?that are programmed to think like humans and mimic their actions.
AIM,2,0,"A free, public instant-message service and one of the earliest. A variety of free client software is available, supporting Windows and Macintosh PCs, Palm operating system (OS), MicrosoftÇs Pocket PC and Symbian handheld devices. See also instant messaging (IM)."
AIS,2,1,"Because the market has evolved, products that were previously referred to as integration suites within this segment are now included with ESB suites. The application infrastructure suite market now includes only application platform suite functionality. Application platform suites are products composed of portals, integration middleware, BPM and business component engineering. They are geared toward supporting a variety of different project styles, including composite applications, new SOA applications and process integration."
ALGORITHM,4,1,The step-by-step procedures used to make a calculation or perform some type of computer-based process.
ALIGNMENT,0,0,"The degree of agreement, conformance, and consistency among organizational purpose, vision and values; structures, systems, and processes; and individual skills and behaviors. Reference: GAO"
ALL-IN-ONE,2,0,"Gartner defines all-in-one (AIO) PCs as desk-based PCs that have the monitor housed within the system casing. The monitor is a flat screen, which can be a touchscreen. Examples include AppleÇs iMac, HPÇs TouchSmart, LenovoÇs ThinkCentre Edge, DellÇs Inspiron One, AcerÇs Z5801, AsusÇ E-Top and SonyÇs VAIO VPC."
ALPHA TESTING,4,0,Testing performed by the development organization to assess whether the entire system meets the design requirements of the users.
ALTERNATIVE ANALYSIS,0,0,Breaking down a complex situation for the purpose of generating and evaluating different solutions and approaches.
ALTERNATIVE DELIVERY MODELS,0,0,"Alternative delivery models are approaches to acquire, package and deliver IT in nontraditional ways. Traditional methods of IT acquisition and delivery are wrapped in well-honed internal processes whereby the IT organization develops or acquires technology (hardware or software), deploys it, supports it and retires it. Alternative delivery and acquisition models include new channels for acquisition, use and payment. In some enterprises, alternative models involve only users and business units, bypassing the IT function."
AMD,2,1,"AMD is the most sophisticated end of the SOA modeling spectrum. It focuses on quality, performance and reuse. It comes in two ìflavorsî: AMD composition and AMD development. AMD composition presumes that the needed services exist and can be ìassembledî into an application (business service), possibly with a new user interface (generally portal-based, using Web services). Organizations can generally use AMD composition models to generate the specifications for use by workflow orchestration technologies in the runtime environment. AMD development assumes that new organizations need to develop software services prior to composition. AMD development tools can reuse the same business models developed by those doing AMD composition. But, generally, IT personnel refine these into more detailed models to generate as much of the code as possible ? 70% to 100% ? depending on the service type. AMD also includes the set of methods that promote ìexecutableî models (that is, where there is no explicit transformation to implementation)."
AMERICAN NATIONAL STANDARDS INSTITUTE,2,0,The American National Standards Institute (ANSI) coordinates the development and use of voluntary consensus standards in the U.S. and represents the needs and views of U.S. stakeholders in standardization global forums. ANSI is actively engaged in accrediting programs that assess conformance to standards.
AMG,2,0,"An access media gateway (AMG) serves as the bridge between a circuit-based voice switch and a packet-based IP or ATM access network. An AMG takes care of the PSTN-to-packet-network transition at the local-loop level and is connected to the local exchange or an access node. It has Class 5 switch interfaces and supports VoIP and/or VoATM. Included in the AMG segment are inverse AMGs, which make the transition from the packet-access domain ÇDSL, cable hybrid fiber-coax, power line and local multipoint distribution service Çto a PSTN Class 5 local exchange via Generic Requirement (GR)-303, V5.x interface and Primary Rate Interface (PRI) (Q.931) V5.2 access node (AN), and GR-303 remote digital terminal (RDT)."
AMI,3,0,"Advanced metering infrastructure (AMI) is a composite technology composed of several elements: consumption meters, a two-way communications channel and a data repository (meter data management). Jointly, they support all phases of the meter data life cycle Çfrom data acquisition to final provisioning of energy consumption information to end customers (for example, for load profile presentment) or an IT application (such as revenue protection, demand response or outage management)."
AMIS,2,0,"An enhanced key system feature for voice/call processing that enables enterprise locations to transfer and forward voice messages between systems. It is a voice processing standard that specifies the procedures to network voice processing systems, regardless of who manufactures the system."
AMO,4,1,"The ongoing maintenance, management, conversion, enhancement and support of an application portfolio by an external company. AMO, a subset of application outsourcing (see separate entry), includes changes that generally take less than some predefined time to implement (e.g., 10 days or 30 days). Examples of maintenance include regulatory changes, software upgrades, new release installations and ìfix it if it breaksî troubleshooting. AMO may involve the transfer of people and application software to the vendor."
AMOLED,2,1,"Active matrix organic light-emitting diodes (AMOLEDs) consist of pixels of electroluminescent organic compounds ìprintedî in a matrix onto a base layer. This base layer is currently glass and will be further developed to use flexible polymers in the future. Unlike liquid crystal displays, OLED displays do not require a backlight and consume very little power, making them suitable for battery-powered devices. AMOLEDs use a thin film transistor (TFT) to control the pixels."
AMPS,2,1,"Defined in EIA/TIA-553 standards. In 2006, AMPS is still the most extensive wireless coverage available for nationwide service in the US. However, in 2002, the FCC made the drastic decision to no longer require A and B carriers to support AMPS cellular service as of March 1, 2008. Since the AMPS standard is analog technology, it suffers from an inherently inefficient use of the frequency spectrum. All AMPS carriers have converted most of their consumer base to a digital standard such as CDMA or GSM and continue to do so at a rapid pace. Digital technologies such as CDMA support multiple voice calls on the same channel, superior call quality, enhanced features such as two-way text messaging, voicemail indicator, internet, and GPS services; whereas, AMPS can only support one call per channel and a basic one-way short message service. AMPS cellular service operates in the 800 MHZ FM band. In 1989, the Federal Communications Commission granted carriers an expansion from the current 666 channels to the now 832 (416 per carrier). The additional frequency was available in the upper 800 MHz band which also was home to UHF channels 70-83. This meant that these UHF channels could no longer be used for UHF TV transmission as these frequencies were to be used for AMPS transmission. Reference: Adapted from Wikipedia."
AMR,2,0,"GSM codec that lowers the codec rate in response to interference, affording a greater level of error correction and potentially enabling operators to reduce capital expenditures by reducing the number of cell sites needed to support the user base."
ANALOG SIGNALS,2,1,Signals consisting of a continuous wave that can take on an infinite number of values within its frequency range.
ANALYSIS,4,0,"The detailed study and examination of something, in order to discover more about it (from Cambridge International Dictionary of English). Analysis typically includes discovering parts of the item being studied, as well as how they fit together. An example is the study of schedule variances for cause, impact, corrective action, and results."
ANALYTIC APPLICATIONS,4,1,"Analytic applications are packaged business intelligence (BI) capabilities for a particular domain or business problem. Flexible, traditional BI tools often lack the ìpackagingî required to facilitate adoption among most employees. Examples of packaging include a user interface suitable for casual users, predefined integration with standard business process applications, issue-specific data models and best-practice templates or wizards."
ANALYTIC PLATFORM,2,1,Preconfigured hardware-software system that is specifically designed for high-speed analysis of large datasets.
ANALYTICS,4,0,"Analytics has emerged as a catch-all term for a variety of different business intelligence (BI)- and application-related initiatives. For some, it is the process of analyzing information from a particular domain, such as website analytics. For others, it is applying the breadth of BI capabilities to a specific content area (for example, sales, service, supply chain). In particular, BI vendors use the ÇanalyticsÇ moniker to differentiate their products from the competition. Increasingly, ÇanalyticsÇ is used to describe statistical and mathematical data analysis that clusters, segments, scores and predicts what scenarios are most likely to happen. Whatever the use cases, ÇanalyticsÇ has moved deeper into the business vernacular. Analytics has garnered a burgeoning interest from business and IT professionals looking to exploit huge mounds of internally generated and externally available data.Are you a leader in Data & Analytics? Learn more about what Gartner can do to help you and your team by downloanding the top strategic priorities for Data & Analytics leaders eBook."
ANALYTICS AND BUSINESS INTELLIGENCE,4,1,"Analytics and business intelligence (ABI) is an umbrella term that includes the applications, infrastructure and tools, and best practices that enable access to and analysis of information to improve and optimize decisions and performance."
ANDROID,2,1,"A mobile operating system developed by Android, Inc. (purchased by Google) and later the Open Handset Alliance as a flexible, upgradeable mobile device platform."
ANSI,2,1,A voluntary non-profit organization that coordinates and supports the U.S. voluntary consensus standards for the industry.
AP,2,0,"An access point is a pico base station or network access point in a WLAN radio network, consisting of a radio (often more than one) and a network connection, enabling WLAN clients to access network resources connected to a home or enterprise network."
APA,0,0,"Applications portfolio analysis (APA) is a tool to divide current and proposed applications into three categories Çutility, enhancement and frontier Çbased on the degree to which they contribute to the enterpriseÇs performance. The utility category is essential but does not enhance the enterpriseÇs performance (e.g., payroll); the enhancement category contains applications that improve the enterpriseÇs performance based on the use of established technology (e.g., documentation automation); and the frontier category is aimed at greatly improving enterprise performance (e.g., through aggressive use of rule-based decision support) but usually entails substantial risk. The management issues for each category are, respectively, cost, opportunity identification and innovation. The planning process should consider the best balance among the three categories to gain optimal future performance and the appropriate value from the application of IT."
API,2,1,"An interface that a software program implements in order to allow other software to interact with it, much in the same way that software might implement a user interface in order to allow humans to use it. APIs are implemented by applications, libraries and operating systems to define how other software can make calls to or request services from them.[1][2][3] An API determines the vocabulary and calling conventions the programmer should employ to use the services. It may include specifications for routines, data structures, object classes, and protocols used to communicate between the consumer and implementer of the API. Reference: Wikipedia"
INFORMATION TECHNOLGOY,0,1,"The hardware and software operated by an organization to support the flow or processing of information in support of business activities, regardless of the technology involved, whether computers, telecommunications, or other. In the Commonwealth of Virginia, Information Technology means telecommunications, automated data processing, databases, the Internet, management information systems, and related information, equipment, goods, and services."
APM,3,0,"Asset performance management (APM) encompasses the capabilities of data capture, integration, visualization and analytics tied together for the explicit purpose of improving the reliability and availability of physical assets. APM includes the concepts of condition monitoring, predictive forecasting and reliability-centered maintenance (RCM)."
APP,4,1,"A software program that is designed to perform a particular, well-defined function, typically built for mobile devices."
APPLET,2,1,"An applet is a small program that runs within an application. Applets are commonly used to make otherwise static Web pages more interactive. Examples include animated graphics, games, configurable bar charts and scrolling messages. Applets also play an important role in network computers (NCs). They increase an NCÇs independence from the server because they do not have to communicate with the operating system (resident on the server) to function once the applet has been received by the NC."
APPLIANCE,2,0,"Generally a separate and discrete hardware device with integrated software (firmware), specifically designed to provide a specific computing resource. These are generally closed and sealed ÇƒÏ not serviceable by the owner. The hardware and software are pre-integrated and pre-configured before delivery to the customer, to provide a turn-key solution to a particular problem. Unlike general purpose computers, appliances are generally not designed to allow the customers to change the software (including the underlying operating system), or to flexibly reconfigure the hardware. See Also: Appliance Server (also Server Appliance) Physical Appliance (also Hardware Appliance) Virtual Appliance"
APPLIANCE SERVER,2,1,"A specialized device designed for ease of installation and maintenance, which fulfills the traditional functions of an application, database, or web server. Purchased from a single vendor, these servers are delivered as a complete unit, with all of the required hardware and software components pre-installed and configured. It is intended to begin work almost immediately when attached to a network, with little additional configuration required. See Also: Appliance Physical Appliance (also Hardware Appliance) Virtual Appliance"
APPLIANCES,2,0,"Appliances is a generic term that encapsulates many aspects of integrated systems and related solutions cutting across data center, PC and software delivery. It can have many meanings and interpretations from the industry, vendors with related market initiatives and derivatives. However, appliances are more than just IT bundles with marketing; they offer joint technology, hardware, software management and services."
APPLICATION,4,1,"An automated solution (computer program) designed to fulfill one or more business functions. It may be a single program designed for a single business function, or it may be a multi-module/program or multi-sub-system entity with modules/programs/components that support multiple business functions. An Application may be purchased (COTS), custom- developed in-house, or reused from another entity."
APPLICATION ARCHITECTURE,4,0,"Application architecture is the discipline that guides application design. Application architecture paradigms, such as service-oriented architecture (SOA), provide principles that influence design decisions and patterns that provide proven design solutions."
