ITword,ITcatlog,ITcertainty
APPLICATION DEVELOPMENT,4,1
APPLICATION INFRASTRUCTURE,2,1
APPLICATION INTEGRATION,4,1
SITE,0,0
APPLICATION MODERNIZATION,4,1
APPLICATION OUTSOURCING,1,1
APPLICATION PERFORMANCE MONITORING,4,1
APPLICATION PROGRAM,4,1
APPLICATION PROGRAMMING INTERFACE,4,1
APPLICATION RELEASE AUTOMATION,4,1
APPLICATION SERVER,2,1
APPLICATION SERVICE PROVIDER,1,1
APPLICATION SHARING,4,1
APPLICATION SOFTWARE,4,1
APPLICATION SYSTEM,4,1
APPLICATION TRANSFORMATION,4,1
APPLICATION-SPECIFIC INTEGRATED CIRCUIT,2,1
APPLICATION-SPECIFIC STANDARD PRODUCT,2,1
APPLIED ARTIFICIAL INTELLIGENCE,4,1
APPROVE,0,0
APPS,4,1
APS,0,0
AR,4,0
ARA,2,1
ARAD,2,1
ARCHITECTURE,2,0
AREAS OF RESPONSIBILITY,0,0
ARPANET,2,0
ARTIFICIAL INTELLIGENCE,4,1
AS,2,0
AS-A-SERVICE,2,1
ASA,2,0
ASC,2,0
ASCII,2,1
ASIC,2,1
ASN,2,0
ASO,2,0
ASP,0,0
ASSET,2,0
ASSET PERFORMANCE MANAGEMENT,4,0
ASSOCIATION,3,0
ASSP,2,1
ASSUMPTIONS,0,0
ASSURANCE,0,0
ASYMMETRIC DIGITAL SUBSCRIBER LINE,2,1
ASYMMETRIC ENCRYPTION,2,1
ASYNCHRONOUS,3,0
ASYNCHRONOUS TRANSFER MODE,2,1
ATG,2,0
ATM,2,1
ATS,2,0
ATTACK,2,0
ATTENUATION,2,1
ATTRIBUTE,3,0
ATTRIBUTES,3,0
AUDIO,2,1
AUGMENTED REALITY,4,1
AUP,0,0
AUTHENTICATE,2,1
AUTHENTICATION,2,0
AUTHENTICATION SERVICE,2,1
AUTHENTICATION TECHNOLOGIES,2,1
AUTHORIZATION,2,0
AUTHORIZED WORK,0,0
AUTOMATED TELLER MACHINE,2,1
AUTOMATED TESTING,4,0
AUTOMATIC CONTENT RECOGNITION,4,1
AUTOMATING,4,1
AUTOMATION,4,1
DOWNTIME,2,1
AUTONOMOUS VEHICLES,4,1
AVAILABILITY,0,0
AVATAR,4,1
AVC,2,1
AVERAGE INVENTORY,2,0
AVERAGE SELLING PRICE,0,0
AVL,4,0
B2G,1,0
BAAS,2,1
BAC,0,0
BACK-END,2,1
BACKBONE,2,0
BACKBONE NETWORK,2,1
BACKDOOR,2,1
BACKHAUL,2,1
BACKPLANE,2,1
BACKUP,3,0
INTELLIGENCE,4,1
BACKUP SITE,2,1
BALANCED SCORECARD,0,0
BAM,2,0
BAND,2,1
BANDWIDTH,2,1
BANNER ADS,0,1
BAR CHART,0,1
BAR CODE READER,2,1
BASE STATION,2,1
BASE STATION CONTROLLER,2,1
BASEBAND,2,1
BASELINE,0,0
BASIC INPUT/OUTPUT SYSTEM,2,1
BASIC TRADING AREA,2,0
BATCH PROCESSING,4,0
BAUD,2,1
BCA,0,0
BCM,0,0
BCP,0,0
BEHAVIOR CONTROL,0,0
BEHAVIORAL MODELS,4,0
BEHAVIORAL TARGETING,0,1
BELIEFS,0,0
BENCHMARK,0,0
BENCHMARKING,0,0
BENEFIT,0,0
BEST PRACTICE,0,0
BEST PRACTICES,0,0
BEST VALUE,0,0
BEST-IN-CLASS,0,1
BEST-OF-BREED,1,1
BETA TESTING,4,0
BI PLATFORMS,4,1
BIA,0,1
BICC,2,1
BID,3,0
BIG DATA,3,1
BIG DATA ANALYTICS,4,1
BILL OF LADING,1,0
BILL OF MATERIALS,3,0
BIMODAL,0,0
BINARY CODE,4,1
BIOCHIPS,2,1
BIOINFORMATICS,2,1
BIOMASS,2,0
BIOMETRIC AUTHENTICATION,2,1
BIOMETRIC CHARACTERISTIC,4,1
BIOMETRICS,4,1
BIOS,2,1
BIPV,2,1
BIT,3,0
BITCOIN,0,1
BLADE SERVERS,2,1
BLANKING INTERVAL,3,1
BLE,2,0
BLOCKCHAIN,2,1
BLOG,2,1
BLOGS,2,1
BLU-RAY,2,1
BLUE OCEAN STRATEGY,0,0
BLUETOOTH,2,1
BLUETOOTH 4.0,2,1
BLUETOOTH LOW ENERGY,2,1
BOB,2,1
BOM,3,0
BOOKMARK,2,1
BOT,4,1
BOTNET,2,1
BOTTLENECK,0,0
BOUNCE RATE,4,1
BPA,0,0
BPAAS,1,1
BPM,0,0
BPO,1,0
BPR,0,1
BPUS,1,0
BRAND EXTENSION,0,1
BRE,2,0
BREAK-EVEN ANALYSIS,0,0
BREW,2,1
BRING YOUR OWN DEVICE,2,1
BRM,2,0
BROADBAND,2,1
BROADBAND WIRELESS ACCESS,2,1
BROADCAST,0,1
BROWNOUT,2,1
BROWSER,2,1
BSC,2,1
BSP,1,1
BTA,2,1
BTS,2,1
BUDGETED COST OF WORK PERFORMED,0,0
BUDGETED COST OF WORK SCHEDULED,0,0
BUFFER,3,0
BUG,4,1
BUGS,4,1
BUILD-OPERATE-TRANSFER,1,1
BUILDING MANAGEMENT SYSTEM,4,1
BUILDING TECHNOLOGIES,4,1
BUNDLING,0,0
BURST,2,0
BUSINESS,0,0
BUSINESS ACTIVITY MONITORING,4,1
BUSINESS ANALYTICS,4,1
BUSINESS AVAILABILITY,0,0
BUSINESS CASE,0,0
BUSINESS CONTINUITY PLAN,0,0
BUSINESS CONTINUITY PLANNING,0,0
RESPONSE TIME,4,0
BUSINESS FUNCTION,0,0
BUSINESS FUNCTIONS,0,0
BUSINESS IMPACT ANALYSIS,0,0
BUSINESS INTELLIGENCE,4,1
BUSINESS MODEL,0,0
BUSINESS OWNER,0,0
BUSINESS PERFORMANCE MANAGEMENT,0,0
BUSINESS PLAN,0,0
BUSINESS PROBLEM,0,0
BUSINESS PROCESS,0,0
BUSINESS PROCESS AS A SERVICE,1,1
ECOSYSTEM,2,1
BUSINESS PROCESS MANAGEMENT,0,0
BUSINESS PROCESS MODELING,4,1
BUSINESS PROCESS OUTSOURCING,1,1
BUSINESS PROCESS RE-ENGINEERING,0,0
BUSINESS PROCESS REDESIGN,0,0
BUSINESS PROCESS REENGINEERING,0,0
BUSINESS PROCESSES,0,0
BUSINESS RULES,0,0
BUSINESS SERVICE PROVIDER,1,1
BUSINESS STRATEGY,0,0
BUSINESS TO GOVERNMENT,0,0
BUSINESS VISION,0,0
BUSINESS-TO-BUSINESS,0,0
BUSINESS-TO-BUSINESS ELECTRONIC COMMERCE,4,1
BUSINESS-TO-BUSINESS MARKETPLACE,4,0
BUSINESS-TO-CONSUMER,4,0
BUSINESS-TO-CONSUMER ELECTRONIC COMMERCE,4,1
BUYER AGENT,1,0
BWA,2,0
BYOD,2,0
BYTE,3,1
C-BAND,2,1
C++,4,1
C2C,0,0
CA,2,0
CAAS,2,0
CABLE MODEM,2,1
CABLE SERVICE PROVIDER,1,1
CAC,2,1
CACHE,2,1
CAD,2,0
CAE,2,0
CAGR,0,0
CALL CENTER,2,1
CALL PROCESSING,4,0
CALLER ID,2,1
CAM,2,1
CAMPAIGN MANAGEMENT,4,0
CAMPAIGN MANAGEMENT SYSTEM,4,1
CAMPUS AREA NETWORK,2,1
CAPABILITIES,0,0
CAPABLE-TO-PROMISE,2,0
CAPACITY PLANNING,0,0
CAPACITY UTILIZATION,0,0
CAPITAL ASSET,0,0
CAPITAL BUDGETING,0,0
CAPITAL EXPENDITURE,0,0
CAPTCHA,2,1
CAR,0,0
CARD SECURITY CODE,2,1
CARPAL TUNNEL SYNDROME,2,0
CARRIER NETWORK INFRASTRUCTURE,2,1
CARRIER SYSTEM,2,1
CASE,4,0
CASE MANAGEMENT SOLUTIONS,4,1
CATALOG CONTENT MANAGEMENT,4,0
CATEGORY MANAGEMENT,4,0
CATHODE RAY TUBE,2,1
CBA,0,0
CBD,2,0
CBR,2,1
CCAS,2,0
CCB,0,0
CCC,2,0
CCD,2,0
CCM,0,0
CCS,2,1
CD-R,2,1
CD-RW,2,1
CDMA,2,1
CDMA2000,2,1
CDMA2000 1X,2,1
CDNS,2,1
CDO,1,0
CDP,3,1
CDR,3,1
CE,0,0
CEA,2,0
CEC,2,1
CEH,2,0
CELL,2,0
CELL SITE,2,1
CELLULAR PHONE,2,1
CELLULAR RADIO,2,1
CENTRAL PROCESSING UNIT,2,1
CENTRALIZED ARCHITECTURE,2,0
CENTRALIZED PROCESSING,4,1
CERT,2,0
CERTIFICATE AUTHORITY,2,1
DIGITAL MILLENNIUM COPYRIGHT ACT,1,1
CGI,2,1
CGM,2,0
CHANGE CONTROL,0,0
CHANGE MANAGEMENT,0,0
CHANGE MANAGEMENT PROCESS,0,0
CHANNEL,0,0
CHANNEL ANALYTICS,4,1
CHANNEL BANK,2,1
CHANNEL CAPACITY,0,0
CHARGE-COUPLED DEVICE,2,1
CHART OF ACCOUNTS,0,0
CHAT,4,1
CHATBOT,4,1
CHATBOTS,4,1
CHECKSUM,3,1
CHIEF INFORMATION OFFICER,3,1
CHIEF PRIVACY OFFICER,3,1
CHIEF SECURITY OFFICER,2,1
SWIFT,2,0
CHIME,2,0
CHOICE,0,0
CHP,2,0
CHROME OS,2,1
CHURN RATE,0,0
CI,2,0
CIAM,2,1
CIF,2,1
CIFS,2,1
CIM,0,0
CHIEF TECHNOLOGY OFFICER,0,1
CIO,0,0
CIR,2,1
CIRCUIT,2,1
CIRCUIT BOARD,2,1
CIRCUIT SWITCHING,2,1
CISO,2,0
CISSP,2,1
CLA,1,0
CLADDING,2,0
CLAMSHELL,2,1
CLASS,4,0
CLASS OF SERVICE,2,0
CLASSIFICATION,4,0
CLI,2,0
CLICK FRAUD,0,1
CLICK-THROUGH,4,1
CLICK-WRAP LICENSE,1,1
CLIENT,2,0
CLIENT/SERVER,2,1
CLIENT/SERVER COMPUTING,2,1
CLIMATE CHANGE,2,0
CLINICAL DATA REPOSITORY,3,1
CLIPPING,2,0
CLM,1,0
CLOCK SPEED,2,1
CLOSED USER GROUP,2,0
CLOUD COMPUTING,2,1
CLOUD DEPLOYMENT,2,1
CLOUD EMAIL,2,1
CLOUD ENABLEMENT,2,1
CLOUD ENGINEERING,2,1
CLOUD FILE SHARING,2,1
CLOUD INFRASTRUCTURE,2,1
CLOUD MANAGEMENT,2,1
CLOUD NATIVE,2,1
CLOUD SECURITY,2,1
CLOUD STRATEGY,2,1
CLTV,0,0
CLUSTERING,4,1
CLV,2,0
CM,4,1
CMC,2,1
CME,0,0
CMMS,4,1
CMOS,2,1
CMP,2,1
CMS,4,1
CMV,2,0
CNI,2,1
CNS,2,1
CO-CREATION,0,0
COAXIAL CABLE,2,1
CODA,2,1
CODE DIVISION MULTIPLE ACCESS,2,1
CODEC,2,1
COGNITIVE COMPUTING,4,1
COGNITIVE RADIO,2,1
COL,3,0
COLD,2,1
COLLABORATION,0,0
COLLABORATION SOFTWARE,4,1
COLLABORATIVE COMMERCE,4,1
COLLECTIVE,0,0
COLLECTIVE INTELLIGENCE,0,0
COLLOCATION FACILITY,2,0
COLO,2,1
COM,2,1
COMBINED HEAT AND POWER,2,0
COMMERCIAL,1,0
COMMERCIAL OFF-THE-SHELF,0,0
COMMON ACCESS CARD,2,1
COMMON PUBLIC RADIO INTERFACE,2,1
COMMONWEALTH OF VIRGINIA,2,0
COMMUNICATIONS AS A SERVICE,2,1
COMMUNICATIONS PLATFORM AS A SERVICE,2,1
COMMUNICATIONS PORT,2,1
COMMUNICATIONS SERVICE PROVIDER,1,1
COMMUNICATIONS SERVICES,2,1
COMMUNITIES,2,0
COMMUNITIES OF PRACTICE,2,0
COMMUNITY,2,0
COMMUNITY CLOUD,2,1
COMMUNITY OF PRACTICE,0,0
COMMUNITY PROVIDER,1,1
COMPETENCIES,0,0
COMPETENCY CENTER,0,0
COMPETITIVE ADVANTAGE,0,0
COMPETITIVE INTELLIGENCE,4,1
COMPILER,2,1
COMPLEMENTARY ASSETS,0,0
COMPLEMENTARY METAL-OXIDE SEMICONDUCTOR,2,1
COMPLEX EVENT,0,0
COMPLEXITY,0,0
COMPLIANCE,0,0
COMPLIANCE UNIT,4,0
COMPONENT,4,0
COMPOSITE APPLICATION,4,1
COMPOSITION,0,0
COMPOUND ANNUAL GROWTH RATE,0,0
COMPUTER CRIME,2,1
COMPUTER DATABASE,3,1
COMPUTER FORENSICS,2,1
COMPUTER HARDWARE,2,1
COMPUTER NETWORKING,2,1
COMPUTER SOFTWARE,4,1
COMPUTER VIRUS,2,1
COMPUTER-AIDED DESIGN,2,1
COMPUTER-AIDED ENGINEERING,4,1
COMPUTER-AIDED MANUFACTURING,2,1
COMPUTER-INTEGRATED MANUFACTURING,4,1
COMPUTER-TELEPHONY INTEGRATION,2,1
COMPUTERIZED MAINTENANCE MANAGEMENT SYSTEM,4,1
COMPUTING DEVICES,2,1
COMPUTING PLATFORM PRODUCTS,2,1
CONCENTRATOR,2,1
CONCURRENT USE,1,0
CONDITION,0,0
CONDITIONING,2,1
CONDUCTOR,2,1
CONFIDENTIALITY,3,0
CONFIGURATION MANAGEMENT,0,0
CONNECT TIME,2,0
CONNECTED DEVICES,2,1
CONNECTED HOME,2,1
CONNECTED PRODUCTS,2,1
CONNECTION,2,0
CONSEQUENCE,0,0
CONSOLE,2,1
CONSTANT BIT RATE,2,1
CONSTRAINT,0,0
CONSULTATIVE SELLING,0,1
CONSUMER VOICE SERVICES,2,1
CONSUMER-TO-BUSINESS,4,0
CONSUMER-TO-CONSUMER,0,0
TECHNOLOGY INVESTMENTS,0,1
CONTACT CENTER,2,1
CONTACT CENTER INFRASTRUCTURE,2,1
CONTACT CENTER SYSTEM,2,1
CONTACT DATABASE,3,1
CONTACTLESS CARD,2,1
CONTACTLESS PAYMENTS,4,1
CONTAINER,2,0
CONTAINERIZATION,4,1
CONTENT AGGREGATION,4,1
CONTENT AGGREGATOR,1,1
CONTENT DELIVERY NETWORK,2,1
CONTENT DELIVERY NETWORKS,2,1
CONTENT MANAGEMENT,4,1
CONTENT MANAGEMENT SYSTEM,4,1
CONTENT MANAGEMENT SYSTEMS,4,1
CONTENT MARKETING,0,1
CONTENT OPTIMIZATION,4,1
CONTENT PROVIDER,1,1
CONTENT TARGETING,0,1
CONTENTION,2,0
CONTEXT,0,0
CONTINGENCY PLANNING,0,0
CONTINGENCY RESERVE,0,0
CONTINGENT WORKFORCE,0,0
CONTINUOUS DATA PROTECTION,3,1
CONTINUOUS IMPROVEMENT,0,0
CONTINUOUS OPERATIONS,0,0
CONTINUOUS PROCESS IMPROVEMENT,0,0
CONTINUOUS PRODUCTION,4,0
CONTINUOUS QUALITY IMPROVEMENT,0,0
CONTRACT,1,0
CONTRACT ADMINISTRATION,0,0
CONTROL,0,0
CONTROL CODE,2,0
CONTROL SYSTEM,0,1
CONTROL UNIT,2,1
CONTROLS,0,0
CONVERSION,2,0
CONVERSION RATE,0,0
COOKIE,2,1
COOKIES,2,1
COOP,0,0
COPYRIGHT,1,0
CORBA,2,0
CORE,0,0
CORE ACTIVITIES,4,1
CORE BANKING SYSTEM,4,1
CORE COMPETENCY,0,0
CORE PROCESSES,0,0
CORE SYSTEMS,2,1
CORPORATE COMMUNICATION,0,0
CORPORATE PERFORMANCE MANAGEMENT,4,0
CORRECTIVE ACTION,0,0
CORRECTIVE MAINTENANCE,4,1
COS,2,0
COSE,1,0
COST AVOIDANCE,0,0
COST CONTROL,0,0
COST ESTIMATING,0,0
COST OF CAPITAL,0,0
COST OF QUALITY,0,0
COST OPTIMIZATION,0,0
COST PER CLICK,0,1
COST REIMBURSABLE CONTRACTS,1,0
COST TO SERVE,0,0
COST TRANSPARENCY,0,0
COST VARIANCE,0,0
COTS,2,0
COUNTERMEASURE,0,0
COUNTRY CODE,3,0
COURSE MANAGEMENT,0,0
COV,1,0
CP,1,0
CPA,2,0
CPAAS,2,1
CPC,0,1
CPE,2,1
CPGA,0,0
CPI,0,0
CPM,0,0
CPMS,4,0
CPO,2,0
CPOE,0,0
CPP,4,1
CPR,4,1
CPRI,2,1
CPS,2,0
CPT,2,1
CPU,2,1
CQI,0,0
CRACKER,2,0
CRASHING,0,0
CRC,2,0
CREDENTIAL,2,0
CRITICAL ACTIVITY,0,0
CRITICAL PATH,0,0
CRITICAL SUCCESS FACTOR,0,0
CRITICAL SUCCESS FACTORS,0,0
CRITICAL THINKING,0,0
CRL,2,0
CRM,4,0
CROSS-DOCKING,4,0
CROSS-SELLING,0,0
CROWDFUNDING,4,0
CROWDSOURCING,1,1
CRP,0,0
CRUD,3,0
CRYPTOCURRENCY,0,1
CRYPTOGRAPHY,2,1
CSB,2,0
CSD,2,0
CSF,0,0
CSI,2,1
CSIA,0,0
VOC,0,0
CSP,1,0
CSS,4,1
CSU,2,1
CTI,2,1
CTM,2,0
CTO,0,0
CTP SYSTEMS,2,1
CTQ,0,0
CTR,0,1
CTS,2,1
CTX,2,1
CU,4,0
CULTURE,0,0
CURRENT PROCEDURAL TERMINOLOGY,4,0
CUSTOM SOFTWARE,4,1
CUSTOMER,0,0
CUSTOMER ANALYTICS,4,1
CUSTOMER COMMUNICATIONS MANAGEMENT,0,0
CUSTOMER DISCOVERY,0,0
CUSTOMER ENGAGEMENT CENTER,4,0
CUSTOMER ENGAGEMENT HUB,2,1
CUSTOMER EXPERIENCE,0,0
CUSTOMER EXPERIENCE MANAGEMENT,0,0
CUSTOMER IDENTITY AND ACCESS MANAGEMENT,2,1
CUSTOMER INFORMATION FILE,2,1
CUSTOMER INTELLIGENCE,4,1
CUSTOMER PORTAL,4,1
CUSTOMER PREMISES EQUIPMENT,2,1
CUSTOMER RELATIONSHIP MANAGEMENT,4,1
CUSTOMER RELATIONSHIP MANAGEMENT SYSTEM,4,1
CUSTOMER RELATIONSHIP MANAGEMENT SYSTEMS,4,1
CUSTOMER SERVICE AND SUPPORT,2,1
CUSTOMER VALIDATION,0,0
CUSTOMIZATION,0,0
CV,0,0
CVS,2,0
CX,2,0
CYBER RESILIENCE,2,1
CYBER SECURITY,2,1
CYBERBULLYING,2,1
CYBERSECURITY,2,1
CYBERSECURITY POLICIES,2,1
CYBERSQUATTING,2,1
CYBERTERRORISM,2,1
CYCLE PLAN,0,0
CYCLE TIME,0,0
DAAS,2,0
DAM,2,1
DAP,3,1
DARK FIBER,2,1
DARPA,2,1
DAS,2,1
DASHBOARD,4,0
DASHBOARDS,4,0
DAT,2,0
DATA,3,1
DATA ADMINISTRATION,3,1
DATA ANALYTICS,4,1
DATA AND ANALYTICS,3,1
DATA ARCHIVING,3,1
DATA BREACH,3,1
DATA BROKER,3,1
DATA CENTER,3,1
DATA CENTER BRIDGING,3,1
DATA CENTER INFRASTRUCTURE MANAGEMENT,3,1
DATA CENTER OUTSOURCING,1,1
DATA CLASSIFICATION,3,1
DATA CLEANSING,3,1
DATA COMMUNICATIONS,3,1
DATA DEDUPLICATION,3,1
DATA ECOSYSTEM,3,1
DATA FLOWS,3,1
DATA GOVERNANCE,3,1
DATA INCONSISTENCY,3,1
DATA INTEGRATION,3,1
DATA LAKE,3,1
DATA MANAGEMENT,3,1
DATA MANAGEMENT PLATFORM,3,1
DATA MANAGEMENT SOFTWARE,3,1
DATA MANAGEMENT TECHNOLOGY,3,1
DATA MIGRATION,3,1
DATA MINING,3,1
DATA MODEL,3,1
DATA MODELING,3,1
DATA MONETIZATION,3,1
DATA OWNER,3,1
DATA PLATFORM,3,1
DATA PREPARATION,3,1
DATA PRIVACY,3,1
DATA QUALITY,3,1
DATA REDUCTION,3,1
DATA REDUNDANCY,3,1
DATA REPLICATION,3,1
DATA RETENTION,3,1
DATA SCIENCE,3,1
DATA SECURITY,3,1
DATA SENSITIVITY,3,0
DATA STORAGE MEDIA,2,1
DATA STRATEGY,3,1
DATA TRANSFORMATION,3,1
DATA TYPE,3,1
DATA VISUALIZATION,3,1
DATA WAREHOUSE,3,1
DATABASE,3,1
DATABASE ADMINISTRATION,3,1
DATABASE ADMINISTRATOR,3,1
DATABASE DESIGN,3,1
DATABASE MANAGEMENT SYSTEM,3,1
DATABASE SERVER,2,1
DATABASES,3,1
DBA,3,1
DBS,2,1
DCB,2,1
DCE,2,1
DCO,1,1
DDI,4,1
DDL,3,1
DDM,3,1
DDOS ATTACK,2,1
DEBUGGING,4,1
DECISION CRITERIA,0,0
DECISION MODELS,0,0
DECISION RIGHTS,0,0
DECISION SUPPORT SYSTEM,4,1
DEEP PACKET INSPECTION,2,1
DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,2,0
DEFENSE IN DEPTH,0,0
DEFLECTION,1,0
DELIVERABLE,0,0
DEMAND FORECASTING,4,0
DEMAND PLANNING,0,0
DEMAND RESPONSE,0,0
DEMOGRAPHIC CHANGES,0,0
DENIAL OF SERVICE ATTACK,2,1
DENIAL-OF-SERVICE,2,1
DENIAL-OF-SERVICE ATTACK,2,1
DENSITY,2,0
DEPLOYMENT,4,0
DESIGN,0,0
DESIGN DOCUMENT,0,0
DESIGN DOCUMENTS,0,0
DESIGN FOR SIX SIGMA,2,0
DESIGN THINKING,0,0
DESKTOP VIDEOCONFERENCING,2,1
DESKTOP VIRTUALIZATION,2,1
DETECTIVE CONTROLS,0,0
DEVA,0,0
DEVELOPMENT,4,0
DEVELOPMENT AND INTEGRATION SERVICES,2,1
DEVELOPMENT ENVIRONMENT,4,1
DEVICE DRIVER,2,1
DEVOPS,2,1
DFSS,2,0
DG,2,1
DGT,2,0
DIF,2,0
DIGITAL,2,1
DIGITAL AGENCIES,2,1
DIGITAL ASSET MANAGEMENT,4,1
DIGITAL AUDIO BROADCASTING,2,1
DIGITAL BANKING,0,1
DIGITAL BUSINESS,4,1
DIGITAL CERTIFICATE,2,1
DIGITAL CERTIFICATES,2,1
DIGITAL COMMERCE,0,1
DIGITAL CROSS-CONNECT,2,1
DIGITAL CUSTOMER,0,1
PRODUCT DIFFERENTIATION,0,1
DISRUPTIVE TECHNOLOGIES,2,1
DIGITAL FORENSICS,2,1
DIGITAL GOODS,0,1
DIGITAL INFRASTRUCTURE,2,1
DIGITAL MARKETER,0,1
DIGITAL MARKETING,4,1
DIGITAL MARKETING HUB,4,1
DIGITAL MARKETING STRATEGY,0,1
INFORMATION DELIVERY,2,1
DIGITAL MODEM,2,1
DIGITAL MULTIMEDIA BROADCASTING,2,1
IT CONSULTING,2,1
DIGITAL NETWORK,2,1
AUTOMATION SOLUTIONS,0,1
DIGITAL OPERATIONS,0,1
DIGITAL PLATFORM,2,1
DIGITAL PRODUCT DEVELOPMENT,4,1
DIGITAL RIGHTS MANAGEMENT,4,1
DIGITAL SIGNALS,3,1
DIGITAL SIGNATURE,4,1
DIGITAL STRATEGY,0,1
DIGITAL SUBSCRIBER LINE,2,1
DIGITAL SWITCHING,2,1
DIGITAL SYSTEMS AND TECHNOLOGY,2,1
APPLICATION MANAGEMENT,4,1
DIGITAL VIDEO DISC,2,1
DIGITAL WALLET,0,1
DIGITAL WATERMARKING,2,1
CSO,2,1
DIGITIZATION,4,1
DIGITIZE,2,1
DIMENSION,3,0
DIRECT BROADCAST SATELLITE,2,1
DIRECT CHANNEL,2,1
DIRECT TO HOME,2,1
DIRECTORY SERVICE,2,1
DIRECTORY SERVICES,2,1
DISASTER,0,0
DISASTER RECOVERY,0,0
DISASTER RECOVERY AS A SERVICE,2,1
DISASTER RECOVERY PLAN,0,0
DISASTER RECOVERY PLANNING,0,0
DISCOUNT FACTOR,0,0
DISCOUNT RATE,0,0
DISCRETE MANUFACTURING,4,1
DISCUSSION FORUM,4,1
DISINTERMEDIATION,0,0
DISRUPTIVE INNOVATION,0,0
ESI,0,0
DISTRIBUTED ANTENNA SYSTEM,2,1
DISTRIBUTED CLOUD,2,1
DISTRIBUTED COMPUTING,2,1
DISTRIBUTED COMPUTING ENVIRONMENT,2,1
DISTRIBUTED DENIAL-OF-SERVICE,2,1
DISTRIBUTED DENIAL-OF-SERVICE ATTACK,2,1
DISTRIBUTED GENERATION,2,1
DISTRIBUTED POWER GENERATION,2,1
DISTRIBUTED PROCESSING,2,1
DISTRIBUTION REQUIREMENTS PLANNING,0,0
DLP,2,1
DM,2,0
DMB,2,1
DMCA,2,1
DMP,3,1
DNS,2,1
DOCUMENT MANAGEMENT,3,1
DOCUMENTATION,2,0
DOMAIN NAME,2,1
DOMAIN NAME SYSTEM,2,1
DOS ATTACK,2,1
DOWNLINK,2,1
DOWNLOAD,4,1
CIMA,0,0
DOXING,4,1
DPI,2,1
DPO,0,0
DPU,0,0
DR,3,0
DR SERVICES,0,0
DRAAS,2,1
DRILL DOWN,3,0
DRILL-DOWN,4,0
DRM,2,0
DRP,2,0
DSL,2,1
DSM,2,1
DSR,2,1
DSS,2,1
DTC,2,1
DTD,2,1
DTH,2,1
DUAL MODE,2,1
DUAL-BAND,2,1
DUE PROCESS,0,0
DURATION,0,0
